CustomerID,Customer Name,Address,PhoneNumber
SSA-1001,MMK KARUNANIDHI,"23/16 NO.1 MARKET STREET,AMMAPET 286301",9443705810
SSA-1002,MOTHI PHARMA (GENERIC),"NO.7/3, POWDER MILL ROAD,2ND STREET, 1ST FLOOR ,PULIANTHOPE,CHENNAI-12",4443024750
SSA-1003,MAHAVEER PHARMACEUTICALS,"47/21 NORTH FACING 1ST FLOOR, MADDOX STREET,CHOOLAI, PURSAWALKAM TK -600 112",
SSA-1004,SRI SHASTI MEDICAL AGENCY,"N0.102/2, ROOM NO.4, CHINNA MUTHU MAIN STREET,ERODE 638 001",
SSA-1005,SRI SHASTI MEDICAL AGENCY.,"NO.102/2, ROOM NO.4 CHINNAMUTHU MAIN STREET,ERODE 638 001",
SSA-1006,ERO MEDICAL AGENCIES,"21, GROUND FLOOR, PATEL STREET,,ERODE 638 001, ERODE TALUK ERODE DT",
SSA-1007,BIOLOG PHARMACEUTICALS,"7, FIRST FLOOR, SENTHAMIZH 2ND STREET,,PARASAKTHI NAGAR, VILLAPURAM, MADURAI-625 012",9585811887
SSA-1008,SRI MUTHUMEENA AGENCIES,"2D/1, 1ST/2ND FLOOR, SEV BUILDING,,NORTH PERUMAL MAISTRY STREET",4524347467
SSA-1009,HIMALAYA WELLNESS COMPANY,"NO.253/1, 1A AND 2A, GROUND FLOOR,,THIRUPPARANKUNDRAM- NEAR BRIGHT SPINNERS PVT LTD",
SSA-1010,MUTHU KUMAR MEDICAL AGENCIES,"1ST FLOOR, 2ND FLOOR, 3RD FLOOR,,10 AND 10/1 VISALAPAGAM 1ST STREET",
SSA-1011,THARANYA CLINIC/SCANS,"4/173, RASIPURAM MAIN ROAD,BELUKURICHI NAMAKKAL DT. 637 402",4286246444
SSA-1012,PLUS PHARMACY,"D.NO.668, CUDDALORE MAIN ROAD,,AMMAPET",
SSA-1013,SREE ANNAI MEDICALS,"OLD NO.5/455,NEW NO.7/5, UDAYAPATTY COLONY,ATTUR MAIN ROAD, SALEM DT",9751484841
SSA-1014,UNIVERSAL PHARMA DISTRIBUTORS,"295/3,KUMARASAMYPATTY, CHERRY ROAD,SALEM-636007",4272419397
SSA-1015,SP MEDITECH PVT LTD,"69/2,RAJESHWARI TOWER,,RAMAKRISHNA ROAD, SALEM-636007",4272555666
SSA-1016,PLA DISTRIBUTION SERVICE,"2A III AGRAHARAM (UPSTAIRS),SALEM 636001",4274040362
SSA-1017,PLA PHARMA DISTRIBUTORS,"NO.2,CHINNAIYA PILLAI STREET,,MARAVANERI, SALEM-636007",4272415789
SSA-1018,SRI AMMAN AMBIGAI AGENCIES,"5/1,UPTAIRS 3rd CROSS, MARAVANERI,SALEM-636007",4272417245
SSA-1019,SENTHIL ENTERPRISES,"1st FLOOR, RK COMPLEX (F-P),209,SECOND AGRAHARAM, SALEM 636 001",2472261695
SSA-1020,SRI VENKATESWARA ENTERPRISES,"45,KASI MUNIAPPAN KOIL STREET,SALEM 636 001",4272260683
SSA-1021,GEETHA PHARMA,"NEW NO.92,96/101,UPSTAIRS,,OPP. TOWN RAILWAY STATION, SALEM-1",4272451801
SSA-1022,SELVA VINAYAGA MEDICALS,"176/477, THIRU VEE KA STREET,,AMMAPET SALEM(DT)-636003",
SSA-1023,SRI VALLI PHARMA SURGICALS,"NEW NO.2/38,OLD NO.17, FIRST FLOOR,,KALAIMAGAL STREET, SWARNAPURI",9994820555
SSA-1024,ALPHA SURGICALS,"NO.14/13A, FIRST FLOOR,,KALAI MAGAL STREET, SWARNAPURI",9787555005
SSA-1025,THARAI MEDICAL AGENCY,"THARAI PULLIKKARAR ILLAM,11/1 BRINDHAVAN 7th STREET, NEAR VASANTHAM HOTEL",4274042847
SSA-1026,KALYANI MEDICALS,"NO.155/188, SECOND AGRAHARAM",4274050662
SSA-1027,SALEM AGENCIES,"4, THIPPU SULTHAN MARKET",4274556454
SSA-1028,SRINIVASA AGENCIES,"14, KALAPPAKARAN STREET,,BALAJI NAGAR",4274299881
SSA-1029,NANDHINI PHARMACEUTICALS,295/128 SECOND AGRAHARAM,4272250141
SSA-1030,FRIENDS PHARMAA,"182/1 ANGAMMAL COLONY,CHINNERI VAYALKADU, PALLAPATTI",9585548062
SSA-1031,"DR G. VIJAYARANI M.B.B.S.,","RAJAMMAL HOSPITAL,464, TVK ROAD, AMMAPET",4272265408
SSA-1032,SRINIVASA MEDICALS,"220/467,T.V.K. ROAD,AMMAPET,",4272265357
SSA-1033,VINAYAGA AGENCIES,"KANNAMAI BUILDING,NO.103/49,2nd AGRAHARAM,SALEM-636 001",4272266114
SSA-1034,RAMYA SRI MEDICALS,"142/1 CUDDALORE MAIN ROAD,AMMAPET, SALEM 636 003",
SSA-1035,PRABU MEDICALS,"D.NO.284, N.NO.528 TVK ROAD",4272241784
SSA-1036,KAVITHA MEDICALS,OLD NO.360/NEW NO.419 TVK ROAD,
SSA-1037,R.R.MEDICALS,"11 MARIAMMAN KOIL STREET,PONNAMMAPET",4272296564
SSA-1038,MURUGAN MEDICAL STORES,"D.NO.222F,SHOP NO.16, SRI VASAVI COMPLEX,TVK ROAD",9965316026
SSA-1039,SRI GANESH MEDICALS,"NEW NO.475,OLD NO.316,TVK ROAD",
SSA-1040,SHANMUGA MEDICAL,"O.NO.387,N.NO.388-1 TVK ROAD",
SSA-1041,BEST PHARMA,"NO.147/153,1ST FLOOR,2ND AGRAHARAM",4274963730
SSA-1042,SANTHI MEDICAL STORES,"196,T.V.K. ROAD",
SSA-1043,SREE ABIRAMI MEDICALS,"188/385, CHAIRMAN RAMALINGAM STREET,AMMAPAET MAIN ROAD",
SSA-1044,KAVI MEDICALS,"9/33A, CUDDALORE MAIN ROAD,UDAYAPATTY POST",
SSA-1045,SRI PERUAMAL MEDICALS,"13/9, VEERANAM MAIN ROAD,PONNAMAPET",
SSA-1046,J.K.AGENCIES,"NO.80,THIYAGI NATESAN STREET -3,AMMAPET",
SSA-1047,SRI VINAYAGA MEDICALS,"6/125, MANNAR PALAYAM X ROAD,ALLIKUTTAI",
SSA-1048,THE SALEM NGGO S CO-OPERATIVE STORES LTD,"NO.1, DR. RAMANATHAN ROAD",
SSA-1049,SALEM DRUGS,"SRI SANTHANA MARIAMMAN TOWERS,NO.5/2, ROYAL GARDEN",4272334203
SSA-1050,PRIME PHARMA SURGICALS,"5/8, FIRST FLOOR, ROYAL GARDENS",9362777705
SSA-1051,SRI KARPAGA VINAYAGA MEDICALS,"1/55 SALEM MAIN ROAD,VEERANAM(Po) SUKKAMPATTY(Via)",
SSA-1052,RAVI MEDICALS 1,54/34 VEERANAM MAIN ROAD,
SSA-1053,RAVI MEDICALS 2,345 PUTHUMARIAMMAN KOVIL STREET (PART),
SSA-1054,SIVA MEDICALS,"6, GROUND FLOOR, SOUTH FACING, CUDDALORE MAIN ROAD,V.O.C.NAGAR,KAMARAJ NAGAR COLONY PO",
SSA-1055,RAJAM MEDICLAS,"64/41,VEERANAM MAIN ROAD,SHOP NO.1 PONNAMAPET",
SSA-1056,RAAJ AGENCY,"20/16-1 D.P.C. LANE,",9894234141
SSA-1057,SRI MURUGAN PHARMACEUTICALS,"NO 37 GROUND AND 1ST FLOOR,KUPPU ST PONNAMMAPET",9944574100
SSA-1058,THIRUVASAGAM PHARMACEUTICALS,"5-A/9, VIJAYARAGAVACHARIAR ROAD",4272316758
SSA-1059,"DR. M.K.RAJENDRAN M.B.B.S., M.S.,","464/224 TVK ROAD,AMMAPET",
SSA-1060,VINAYAGA PHARMA,"NO.22,WEST FACING GROUND AND FIRST FLOOR,KOTTAI SANNATHI STREET",4272214479
SSA-1061,SRI VIMAL PHARMACY,"224/464 TVK ROAD,AMMAPET",
SSA-1062,M/S.SIVA MEDICALS,"256-1, GROUND FLOOR, ROOM NO.1, NORTH EAST CORNER,,SIVA HOSPITAL CAMPUS, TVK STREET PART,",8270861847
SSA-1063,THIRUVARUL PHARMACY,"562/5, CUDDALORE MAIN ROAD,KAMARAJAR NAGAR COLONY",8056974537
SSA-1064,SRI VALLI PHARMA SURGICALS(BR),"438/110,GROUND FLOOR, ANNA STREET,ANGAMMAL COLONY",4273553928
SSA-1065,SRI THIRUMAL PHARMA,"NO.34, ANGALAMMAN KOVIL STREET",9791847562
SSA-1066,SRI SURYA PHARMACEUTICALS,"59/2, NATESAN COLONY,OPP. GOVT ARTS COLLEGE",42724505874
SSA-1067,MEENAKSHI PHARMA DISTRIBUTORS,"14/36,PULIKUTTI 4TH STREET,GUGAI",4272467017
SSA-1068,SRI SRINIVASA AGENCIES,"CHINNATHIRUPAATHY,II ND CROSS, MGR NAGAR",
SSA-1069,SRI SAAI PHARMACY,"NO 20 CUDDALORE MAIN ROAD,NEAR SIVAGAMI AMMAN KOVIL",9345778177
SSA-1070,SHANMUGA PHARMA,"NO.85,RAMNAGAR,,KUMARASAMY PATTY,",9443943157
SSA-1071,KRISH MEDICALS,"102,SHOP NO.2 EAST FACING, GROUN FLOOR,VEERANAM MAIN ROAD ANNA NAGAR, PONNAMMAPET",
SSA-1072,S.K. PHARMA,"NO.36/A2, KALAIMAGAL STREET,,SWARNAPURI , SALEM 4",4272447889
SSA-1073,M K VIJAYAN,"16/23 NO.1 MARKET STREET,AMMAPET",
SSA-1074,GANAPATHY PHARMA,"55-A,BLOCK 5, PERY BUILDING,,SECOND AGRAHARAM",9443288334
SSA-1075,MUTHU MEENA AGENCIES,"155 RAJARAM NAGAR TAMIL SANGAM ROAD,SALEM 636 007",7397706426
SSA-1076,SRI BANNARIAMMAN MEDICAL AGENCIES,"D.N0. 15/3, FURST FLOOR, PLAT NO.2,,PERMANUR EAST STREET, SANKAR NAGAR",4274260474
SSA-1077,SIR PITTY THIYAGARAYA CHETTIAR FREE HOSPITAL,"DR. POORNIMA- 51 MATHAI STREET,,SOWNDAMMAN KOIL (NEAR) AMMAPET SALEM-3",
SSA-1078,SVB PHARMA,"NO.414, SHOP NO.2 SITTAGOUNDAR LINE,,MITTAPUDUR, FAIRLANDS, ALAGAPURAM PUDUR",
SSA-1079,ABI MEDICALS,"NO.10/6, GROUND FLOOR 2ND SHOP,FROM WEST KOIL STREET, PIN 636 116",
SSA-1080,PUGAZH PHARMACY,"394, GROUND FLOOR, T.V.K. ROAD,AMMAPET, SALEM TALUK, SALEM DISTRIC",
SSA-1081,MALIN MEDITECH,"NO.1/103-B, FIRST FLOOR, FATHIMA NAGAR,SANYASIGUNDU, SALEM- 636 015",9344812365
SSA-1082,ALAMU PHARMA,"PERI TOWERS,21-3,PADAYAPPA GARDEN,,ITTERI ROAD, MEYANOOR, SALEM -4",2472448300
SSA-1083,MALIN MEDITECH.,"NO.1/103-B, FIRST FLOOR, FATHIMA NAGAR,SANYASIGUNDU, SALEM -15",9344812365
SSA-1084,PLUS PHARMA SPECIALITY SUPPLIES,"DOOR NO. 426A, EAST FACING, GROUND FLOOR,,TVK STREET (PART), AMMAPETTAI POST,",
SSA-1085,"DR.S.SARAVANAN MBBS.,F.DIAB.,","531, CUDDALORE MAIN ROAD,,AMMAPET , SALEM-636 014",
SSA-1086,VELAN MEDICAL STORES,"1/137, ADIKARIPATTY,UDAYAPATTY",
SSA-1087,KJ PHARMACY,"3/637-B, CUDDALORE MAIN ROAD,,NEAR HOLYCROSS SCHOOL,K.N. COLONY",
SSA-1088,MEDILINE AGENCIES,"GROUND FLOOR AND FIRST FLOOR,216/17 And 216/2 PERAMANUR EAST STREET",
SSA-1089,SRI SAI DISTRIBUTORS,"NO.45 SRIRANGAPALAYAM ROAD,KUMARASAMYPATTI , SALEM -636 007",9942774776
SSA-1090,DR A.SATHEESH KUMAR M.B.B.S,"KARUMBUR STREET,OLD E.B OFFICE, THAMBAMPATTY",
SSA-1091,MEDICINE HOUSE (BR),"N0.265/3 CINEMA NAGAR, ANGAMMAL COLONY,BEHIND NEW BUS STAND, LIEGH BAZAAR POST",9600380338
SSA-1092,"DR.SATHIAN RAGHAVAN MBBS.,MRCP.,S.C.E.,","PRINITH CLINIC 34-D, L B CHETTY STREET,KANNANKURICHI",9385990458
SSA-1093,S.V.P. AGENCIES,"NO.12/16, SARASHWATHI NAGAR,,MOOKKANERI ROAD, CHINNATHIRUPPATHI,",
SSA-1094,AKSHAYA AGENCY,"NO.20,FIRST FLOOR, NORTH FACING,,GOKULAM ROAD, THOPPUKADU,FAIRLANDS",4274041545
SSA-1095,"DR.S.SARAVANADEVI,B.D.S.,","173/43, T.V.K. Road Ammapet,Salem 636003",8056507454
SSA-1096,SRI MURUGAN PHARMA,"NO.283, PUTHU MARIAMMAN KOVIL STREET,AMMPETTAI",
SSA-1097,"DR M.KALAISELVI RAJA MD(GP)DGO,DRM(GER)","RAJAMANIKAM STREET,HASTHAMPATY",
SSA-1098,"DR.SATHISH KUMAR MBBS,FIDM","152/38 KARUNGALPATTY MAIN ROAD,KARUNGALPATTY",
SSA-1099,"DR.S.R.RANI VIJAYAKUMAR MBBS,DCH",AVR CLINIC 3/21 ALAGAPURAM BUS STOP,
SSA-1100,DR.K.THIRUVARUTCHELVAN MD.NEUR,DR.THIRU NEURO MULTI SPECILITY HOSPITAL,
SSA-1101,SREEMAHAALAKSHMI DISTRIBUTOR,"50/478, CHAIRMAN RAMALINGAM STREET,,NEAR PATTAI KOIL, AMMAPET MAIN ROAD",9843205943
SSA-1102,MANI MEDICALS,"DOOR NO.419, NORTH FACING, GROUND FLOOR,,T.V.K. ROAD-PART, AMMAPET POST",
SSA-1103,"PRS PHARMACEUTICALS PVT. LTD.,","NO.9. OLD NO.13-A UDAYAR THOTTAM,MALLAMOOPAMPATTY",4272386687
SSA-1104,ANNAI SOWDESWARI CLINIC,"7/51 METHAI STREET DR. JAIVIGNESH,AMMAPET , SALEM -3",
SSA-1105,SRI SIVA MEDICALS,"25-E, FIRST AGRAHARAM",
SSA-1106,NILA HOSPITAL,"OPP. TO ESWARAN KOIL STREET,SIVTHAPURAM,VEDUGATHAMPATTY 636 307",9003522285
SSA-1107,SRI THIRUMAL PHARMA.,"NO.34, ANGALAMMAN KOIL STREET",
SSA-1108,"DR.P.SAMIKRISHNAN MD,DM-RHEU","SKIHA HOSPITAL, 3, ANNAMALAI NAGAR,SEELANAICKENPATTI",9442155395
SSA-1109,SRI SAI DISTRIBUTORS.,"NO.45, SRIRANGAPALAYAM ROAD,,KUMARASAMYPATTI,",9952663939
SSA-1110,SRI MURUGAN PHARMACY,"D.NO.209, WEST FACING, GROUND FLOOR,,ARISIPALAYAM MAIN ROAD, NARAYANASAMY PURAM",
SSA-1111,JEEVA KAMATCHI PHARMA,"D.NO.154 EAST FACING, GROUND FLOOR,,PERAMANOOR MARIAMMAN KOIL STREET, Z2-HASTHAMPATTY,",
SSA-1112,SRI SIDDHI VINAYAGA PHARMA,"11, EAST FACING, GROUND FLOOR,,7TH CROSS STREET, MARAVANERI",
SSA-1113,R.R.WELLNESS PHARMA,"11,S.NO.3 FROM WEST,SOUTH FACING G.FLOOR,MARIAMMAN KOVIL ST. Z3-AMMAPET, 636 001",
SSA-1114,ZEN MEDICARE,"DOOR NO.51/2 NORTH FACING, SECOND FLOOR,RAJARAM NAGAR, 2ND CROSS, HASTHAMPATTI-POST",
SSA-1115,ZIVIZ PHARMACEUTICALS,"158/1, GROUND FLOOR, A.L. THANGAVEL STREET,,ALAGAPURAM",
SSA-1116,J.K.AGENCIES.,"102,SOUTH EXTENSION, KADALUR MAIN ROAD,AMMPET, SALEM, TAMILNADU 636 003",
