Product Name,Qty,Exclusive Offer
AACTARIL SOPA 75G - 1S,72,
ABDOMINAL BELT - 42 - 1S,1,
ABDOMINAL BELT - 42 - 1S,1,
ABDOMINAL BELT -36 - 1S,1,
ABZORB POWDER 100G - 1S,4,
ACEFLAM P TAB - 1S,10,
ACILOC 150MG TAB - 1S,4,
ACILOC 300MG TAB - 1S,3,
ACITROM 1MG TAB - 1S,1,
ACITROM 1MG TAB - 1S,1,
ACITROM 2MG TAB - 1S,2,
ACNESTAL SOAP 75G - 1S,2,
ACNESTAR GEL 22G - 1S,2,
ACNESTAR SOAP 75G - 1S,1,
ACNIL SOAP 75G - 1S,6,
ACON PREGNANCY TEST CARD - 1S,20,
ACTON OR TAB - 1S,2,
AEROCORT FORTE ROTACAP 30G - 1S,1,
AEROCORT INHALER 200MD - 1S,5,
AEROCORT ROTACAP 30S - 1S,1,
AEROCORT ROTACAPS 60S - 1S,7,
AFOGLIP 20MG TAB - 1S,3,
AFOGLIP 20MG TAB - 1S,1,
AGINAL AT TAB - 1S,3,
AGINAL AT TAB - 1S,3,
ALASPAN TAB - 1S,1,
ALDACTONE 25MG TAB - 1S,12,4+1
ALDACTONE 50MG - 1S,5,
ALDAY TAB - 1S,12,
ALEX LOZENGES - 1S,10,
ALEX SYP 100ML - 1S,1,
ALKOF CAPS - 1S,2,5+1
ALKOF CAPS - 1S,2,
ALKOF DX 60ML SYP - 1S,1,
ALKOF PLUS SYP 60ML - 1S,2,
ALKOF SYP 100ML ORANGE - 1S,2,
ALLEGRA 120MG TAB - 1S,1,
ALLERCET TAB - 1S,5,
ALMOX 250MG CAPS - 1S,14,7+1
ALMOX 500MG CAPS - 1S,8,
ALPHAGAN Z 0.1% EYE DROPS - 1S,0,
ALTHROCIN 500MG - 1S,2,
AMBROLITE D SYP 100ML - 1S,5,
AMBROLITE S SYP 100ML - 1S,2,
AMLACE TAB - 1S,0,
AMLO CB 2.5MG - 1S,4,
AMLODAC 5MG - 1S,5,
AMLODAC 5MG - 1S,5,
AMLOKIND AT TAB - 1S,12,
AMLOKIND AT TAB - 1S,4,
AMLONG 2.5MG TAB - 1S,11,
AMLONG 2.5MG TAB - 1S,4,
AMLONG 5MG TAB - 1S,22,
AMLONG 5MG TAB - 1S,6,
AMLONG TL 40MG - 1S,0,
AMLOPRES AT TAB - 1S,5,
ANDIAL TAB - 1S,13,
ANDIAL TAB - 1S,23,
ANDIAL TAB - 1S,0,
ANOVATE CRM 20GM - 1S,4,
ANXIT TAB 0.25MG - 1S,35,
ANXIT TAB 0.5MG - 1S,10,
APIGAT 5MG - 1S,1,
ARBITEL 20MG - 1S,2,
ARBITEL 20MG - 1S,3,
ARBITEL 40MG TAB - 1S,2,
ARBITEL 40MG TAB - 1S,3,
ARGIPREG SACHET - 1S,7,
ARK GEL 30G - 1S,7,
ARZACET SYP 6ML - 1S,8,
ARZAVIT TAB - 1S,3,
ASCORIL D SYP 100ML - 1S,14,
ASCORIL EXP 100ML - 1S,7,
ASCORIL EXP 100ML - 1S,13,
ASCORIL LS 100ML EXP - 1S,10,
ASCORIL LS JUNIOR 60ML - 1S,4,
ASCORIL SF SYP 100ML - 1S,5,
ASSURANS TAB 20MG - 1S,2,
ASTHAKIND DX 100ML - 1S,10,
ASTHAKIND DX 60ML SYP - 1S,4,
ASTHAKIND SYP 100ML - 1S,0,
ASTHALIN 4MG TAB - 1S,3,
ASTHALIN DX SYP 100ML - 1S,4,
ASTHALIN INHALER 200MD - 1S,3,
ASTHALIN RESPIRATOR SOLUTION 15ML - 1S,16,
ASTHALIN RESPULES 2.5ML - 1S,20,
ASTHALIN ROTACAP 60S - 1S,10,
ASTHALIN SYP 100ML - 1S,1,
ATARAX 25MG TAB - 1S,4,
ATARAX SYP 100ML - 1S,0,
ATEN 25MG - 1S,4,
ATEN 50MG - 1S,8,
ATOCOR 10MG - 1S,0,
ATORFIT 10MG - 1S,5,
ATORFIT CV 10MG - 1S,5,
ATORFIT CV 10MG - 1S,3,
ATORFIT CV GOLD 20/75 - 1S,0,
ATORSAVE 40MG TAB - 1S,0,
ATORSAVE D 40MG - 1S,0,
ATORSAVE D 40MG - 1S,0,
ATORVA 10MG TAB - 1S,3,
ATOSTA 10MG - 1S,5,
ATOSTA 10MG - 1S,13,
ATOSTA 5MG - 1S,6,
AUGMENTIN 375MG TAB - 1S,4,
AUGMENTIN 625 DUO TAB - 1S,1,
AUGMENTIN 625 DUO TAB - 1S,1,
AUGMENTIN 625 DUO TAB - 1S,1,
AUGMENTIN 625 DUO TAB - 1S,9,
AUGMENTIN 625 DUO TAB - 1S,13,
AUGMENTIN DUO SUS 30ML - 1S,5,
AVAS 20MG - 1S,2,
AVAS CV 10MG - 1S,6,
AVOMINE 25MG - 1S,2,
AZITHRAL 100MG SYP 15ML - 1S,2,
AZITHRAL 200MG SYP 15ML - 1S,2,
AZITHRAL 200MG SYP 15ML - 1S,3,
AZITHRAL 250MG TAB - 1S,1,
AZITHRAL 250MG TAB - 1S,12,
AZITHRAL 500MG TAB - 1S,9,
AZKAVIT TAB - 1S,0,
AZTOLET 20MG - 1S,0,
B COMPLEX B.P.C TAB 1000S - 1S,1,
B PROTIN CHO 500G - 1S,1,
BACTIGRAS 10X10CM - 1S,20,
BACTOCLAV 625MG TAB - 1S,5,
BANDAGE CLOTH 10CM X 10M - 1S,20,
BANDAGE CLOTH 10CM X 3M - 1S,1,
BANDAGE CLOTH 10CM X 3M - 1S,3,
BANDAGE CLOTH 15CM X 10M - 1S,20,
BANDAGE CLOTH 15CM X 3M - 1S,2,
BANDAGE CLOTH 5CM X 3M - 1S,1,
BANDAGE CLOTH 5CM X 3M - 1S,1,
BANDAGE CLOTH 5CM X 3M - 1S,3,
BANOCIDE FORTE TAB - 1S,8,
BASALOG VIAL 3ML 100 IU - 1S,0,
BASALOG VIAL 3ML 100 IU - 1S,0,
BD U100 INSULIN SYRING - 1S,3,
BD U100 INSULIN SYRING - 1S,20,
BD U100 INSULIN SYRING - 1S,20,
BD U40 6MM INSULIN SYR - 1S,2,
BECOSULES CAP - 1S,20,
BECOSULES Z CAPS - 1S,7,
BECOZYME C FORTE TAB - 1S,5,
BECOZYME C FORTE TAB - 1S,2,
BELLADONA CAPSICUM PLASTER - 1S,1,
BELLADONA CAPSICUM PLASTER - 1S,3,
BELLADONNA PLASTER - 1S,6,
BENADRYL C.F 150ML - 1S,2,
BENADRYL C.F 50ML - 1S,5,
BEPARINE 5000 IU 5ML - 1S,3,
BEPLEX FORTE TAB - 1S,102,
BEPLEX FORTE TAB - 1S,11,
BETACAP 20MG - 1S,2,
BETADINE ONT 20G - 1S,5,
BETNESOL TAB - 1S,44,
BETNOVATE C CREAM 30G - 1S,2,
BETNOVATE GM ONT 20G - 1S,5,
BETNOVATE S ONT 20G - 1S,3,
BIFILAC HP - 1S,6,
BILASURE M - 1S,3,
BIOCETAMOL IV 100ML - 1S,1,
BIOMYLIN G - 1S,2,
BLOOD ADMIN SET ROMSONS - 1S,4,
BONNISAN LIQUID 200ML - 1S,14,
BORIC ACID 10G - 1S,50,
BP MONITOR - DR. TRUST - 1S,1,
BRO ZEDEX 100ML SYP - 1S,6,
BRONCOREX  EXP 50ML - 1S,6,
BRUFEN 200MG TAB - 1S,8,
BRUFEN 400MG TAB - 1S,21,
BUDAMATE 200MG ROTACAPS - 1S,2,
BUDAMATE 400MG ROTACAPS - 1S,3,
BUDECORT 200MG ROTACAPS - 1S,0,
BUDECORT 200MG ROTACAPS - 1S,2,
BUDECORT 200MG ROTACAPS - 1S,3,
BUDECORT 400MG ROTACAPS - 1S,1,
BUDECORT 400MG ROTACAPS - 1S,3,
BUDECORT RES 0.5MG 2ML - 1S,120,
BUDETROL 400MG - 1S,1,
BUDETROL 400MG - 1S,3,
BUSCOGAST INJ 1ML - 1S,10,
CALAPURE A LOTION 100ML - 1S,3,
CALCIGARD 5MG CAP - 1S,0,
CALCIGARD RETARD 20MG TAB - 1S,32,
CALCIJOINT SYP 200ML - 1S,1,
CALCIMAX FORTE TAB - 1S,2,
CALDIKIND  PLUS - 1S,5,
CALFISH TAB - 1S,2,
CALPOL 120MG SUS - 1S,2,
CALPOL 120MG SUS - 1S,20,
CALPOL 250MG 60ML - 1S,9,
CALPOL 650MG TAB - 1S,5,
CAMPICILLIN 250MG CAP - 1S,4,
CANDIBIOTIC PLUS EAR DROPS - 1S,1,
